Strain,Condition,Rep,Plate,Days,Root_growth (mm)
deltafliC,flg-,2,18,7,60
deltafliC,flg-,2,18,7,55
deltafliC,flg+,2,14,7,16
deltafliC,flg+,2,14,7,39
deltafliC,flg+,2,14,7,18
deltafliC,flg+,2,14,7,1
deltafliC,flg+,2,14,7,33
deltafliC,flg+,2,14,7,41
deltafliC,flg+,2,15,7,14
deltafliC,flg+,2,15,7,16
deltafliC,flg+,2,15,7,17
deltafliC,flg+,2,15,7,17
deltafliC,flg+,2,15,7,4
deltafliC,flg+,2,15,7,12
deltafliC,flg+,2,13,7,36
deltafliC,flg+,2,13,7,31
deltafliC,flg+,2,13,7,26
deltafliC,flg+,2,13,7,37
deltafliC,flg+,2,13,7,33
deltafliC,flg+,2,13,7,14
cl21,flg+,2,9,7,8
cl21,flg+,2,9,7,39
cl21,flg+,2,9,7,8
cl21,flg+,2,9,7,32
cl21,flg+,2,9,7,27
cl21,flg+,2,9,7,1
cl21,flg+,2,7,7,36
cl21,flg+,2,7,7,36
cl21,flg+,2,7,7,29
cl21,flg+,2,7,7,4
cl21,flg+,2,7,7,38
cl21,flg+,2,7,7,36
cl21,flg+,2,8,7,36
cl21,flg+,2,8,7,37
cl21,flg+,2,8,7,40
cl21,flg+,2,8,7,32
cl21,flg+,2,8,7,42
cl21,flg+,2,8,7,39
p176,flg+,2,20,7,18
p176,flg+,2,20,7,28
p176,flg+,2,20,7,1
p176,flg+,2,20,7,35
p176,flg+,2,20,7,32
p176,flg+,2,20,7,7
p176,flg+,2,19,7,29
p176,flg+,2,19,7,41
p176,flg+,2,19,7,42
p176,flg+,2,19,7,21
p176,flg+,2,19,7,38
p176,flg+,2,19,7,33
p176,flg+,2,21,7,40
p176,flg+,2,21,7,32
p176,flg+,2,21,7,14
p176,flg+,2,21,7,31
p176,flg+,2,21,7,37
p176,flg+,2,21,7,32
p176,flg-,2,24,7,55
p176,flg-,2,24,7,5
p176,flg-,2,24,7,52
p176,flg-,2,24,7,57
p176,flg-,2,24,7,49
p176,flg-,2,24,7,28
p176,flg-,2,23,7,36
p176,flg-,2,23,7,61
p176,flg-,2,23,7,64
p176,flg-,2,23,7,61
p176,flg-,2,23,7,22
p176,flg-,2,22,7,13
p176,flg-,2,22,7,52
p176,flg-,2,22,7,50
p176,flg-,2,22,7,3
p176,flg-,2,22,7,59
