taxon_oid,Name,IMG_Phylum,IMG_Class,IMG_Order,IMG_Family,IMG_Genus,Institution,Host,Fraction,HostFraction
2643221760,Sphingomonas_sp._Leaf230,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,ETH,Arabidopsis,Shoot,Arabidopsis_Shoot
2643221610,Ensifer_sp._Root74,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ensifer,MPCologne,Arabidopsis,Root,Arabidopsis_Root
2643221813,Sphingomonas_sp._Leaf357,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,ETH,Arabidopsis,Shoot,Arabidopsis_Shoot
2643221552,Caulobacter_sp._Root1472,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,MPCologne,Arabidopsis,Root,Arabidopsis_Root
2643221777,Sphingomonas_sp._Leaf62,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,ETH,Arabidopsis,Shoot,Arabidopsis_Shoot
2643221557,Ensifer_sp._Root558,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ensifer,MPCologne,Arabidopsis,Root,Arabidopsis_Root
2643221564,Mesorhizobium_sp._Root157,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium,MPCologne,Arabidopsis,Root,Arabidopsis_Root
2643221743,Rhizobium_sp._Leaf202,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,ETH,Arabidopsis,Shoot,Arabidopsis_Shoot
2643221655,Ensifer_sp._Root1252,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ensifer,MPCologne,Arabidopsis,Root,Arabidopsis_Root
2643221780,Rhizobium_sp._Leaf68,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,ETH,Arabidopsis,Shoot,Arabidopsis_Shoot
2643221838,Sphingomonas_sp._Leaf257,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,ETH,Arabidopsis,Shoot,Arabidopsis_Shoot
2643221608,Sphingopyxis_sp._Root214,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,MPCologne,Arabidopsis,Root,Arabidopsis_Root
2643221767,Sphingomonas_sp._Leaf38,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,ETH,Arabidopsis,Shoot,Arabidopsis_Shoot
2643221820,Methylobacterium_sp._Leaf399,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,ETH,Arabidopsis,Shoot,Arabidopsis_Shoot
2643221799,Methylobacterium_sp._Leaf102,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,ETH,Arabidopsis,Shoot,Arabidopsis_Shoot
2643221653,Rhizobium_sp._Root1240,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,MPCologne,Arabidopsis,Root,Arabidopsis_Root
2643221712,Ensifer_sp._Root258,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ensifer,MPCologne,Arabidopsis,Root,Arabidopsis_Root
2595698237,Methylobacterium_sp._UNCCL125,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,UNC,Arabidopsis,Root,Arabidopsis_Root
2643221944,Methylobacterium_sp._Leaf466,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,ETH,Arabidopsis,Shoot,Arabidopsis_Shoot
2590828856,Methylobacterium_sp._174MFSha1.1,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,UNC,Arabidopsis,Root,Arabidopsis_Root
2639762527,Bacillus_sp._CL115,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,UNC,Arabidopsis,Root,Arabidopsis_Root
2643221489,Agrobacterium_tumefaciens_233MFSha2.1,Proteobacteria,Bacilli,Rhizobiales,Rhizobiaceae,Agrobacterium,UNC,Arabidopsis,Root,Arabidopsis_Root
2639762568,Bacillus_sp._112MF,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,UNC,Arabidopsis,Root,Arabidopsis_Root
2643221877,Bacillus_sp._Soil531,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,MPCologne,Arabidopsis,Soil,Arabidopsis_Soil
2643221950,Bacillus_sp._Leaf49,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,ETH,Arabidopsis,Shoot,Arabidopsis_Shoot
