"","Name","Sample","Plate","P1","P2","P3","P4","P5","P6","FullAuc","ScaledAuc"
"39","Pa20","A3","152245","0.845637831685353","-7.2824898330753","-0.0020890452254377","2.09634133586152","0.0222838278728031","2.76757005666497","110469.516817322","9.4974799084969"
"40","Pa20","A4","152245","0.741254270468565","-7.43170210652133","-0.000289901524940663","2.20882273931864","0.0228386339604921","2.80498612659808","105201.4897677","7.98554098364502"
"41","Pa20","A5","152245","0.818350408534136","-4.21536417185265","-0.000948419636801413","5.60375887694064","0.00271455912133801","2.60076393386546","112574.920062012","14.0154600341147"
"42","Pa20","A6","152245","0.900540453874977","-6.60569304820046","-5.47617091366109e-05","2.73866678710036","0.0121588396302603","2.65193592789791","102815.460504303","12.214009010153"
"43","Pa20","A7","152245","1.00543586692542","-0.889426535165636","-0.00117125721955632","22.309464679495","0.0185062133496698","2.61211517175892","103709.28633493","16.3036410396489"
"44","Pa20","A8","152245","1.68285651210749","-7.80467818439174","-0.00684777185817329","2.374813859312","0.00807307672153936","2.15675310931852","113344.587997406","24.8481835025951"
"45","Pa20","A9","152245","1.18980396396114","-8.07613154201603","-0.0149459145478943","20.6825223933074","0.0260645916836947","2.32021630202298","96317.3484607849","19.4693842076172"
"46","Pa20","A10","152245","0.669477927349147","-0.0038515713024378","-8.42457052344322","2.54175523166457","0.0270904896062647","2.25009058172356","100238.330317993","18.7967323950429"
"47","Pa20","A11","152245","1.18433685058831","-1.71228661463232","-0.0247191466124793","10.054721242662","0.0136231497943979","2.16097180912557","103450.378389526","20.911239724473"
"48","Pa20","A12","152245","0.418678751010075","-9.97344855814075","-0.656400218062894","13.035847805609","0.896585876275518","2.92432972846041","1268221.40671161","1.07722286214319"
"49","1297","A1","152245","0.134597670222439","-5.0815237544637","-0.0158494204256695","29.3587074478109","0.0359307726518476","2.53118654685848","212057.422192169","2.93281239579252"
"50","1297","A2","152245","0.625996079180706","-1.72079833427189","-0.0132062570651036","2.01011212864482","0.0274047302245225","2.77708877801188","112005.923413605","5.94827489780449"
"51","1297","A3","152245","0.600458030954917","-7.31981363886445","-0.000168428333143462","2.55080268244293","0.0148638380151968","2.83293725936749","113679.804604218","7.86197418897387"
"52","1297","A4","152245","0.771787500110533","-2.37616082767619","-0.00232034565442681","2.68027808140593","0.0181797755864036","2.79530869248942","110132.674385834","8.87971514109486"
"53","1297","A5","152245","1.20163904693721","-3.2492754655052","-0.00232372523360535","2.35509098814466","0.01888099691472","2.7920336910633","111359.548221893","14.0896338648403"
"54","1297","A6","152245","2.33512790663076","-2.05377723152474","-7.37885058390138","2.00481737730562","0.00888884025626743","2.06890329142982","175240.181173248","24.5696593937954"
"55","1297","A7","152245","1.15061080068926","-1.59021948731726","-0.00468830034877954","2.50697048007443","0.0060561558321795","2.25346209296443","109234.985233612","18.2805456560304"
"56","1297","A8","152245","1.36222876908559","-1.75370843179514","-0.000718973942407007","18.9249972081766","0.028124205152364","2.42377074493101","96837.6525256348","20.0967468321828"
"57","1297","A9","152245","1.23372546120721","-8.76845116426074","-0.0065378475679091","16.3622703108341","0.00914878000606259","2.28409739626683","116823.002365082","21.3910697865774"
"58","1297","A10","152245","1.6080222562973","-2.77853512075008","-0.00502888540047014","3.23534891530365","0.00763699097038172","2.26481601700278","102670.116650299","24.5866429295792"
"59","1297","A11","152245","1.96664194612687","-2.19379694420318","-5.5560120320706","2.13846000098954","0.00104400841695769","1.93224395759407","111489.656739441","24.4415326593835"
"60","1297","A12","152245","0.434387106965155","-9.99144658338618","-0.608297180538993","13.1177608650022","0.973161608795102","2.9487643897029","1985299.21391464","1.34259068736722"
"61","447","A1","152245","0.165756791355167","-3.19580645646172","-0.0341937548362426","4.82098283546204","0.0110574527135978","2.60096297053868","211663.896671722","2.59927238575864"
"62","447","A2","152245","0.600891365611666","-0.378077566090761","-0.000736069682591503","2.36762681923591","0.0280095980149798","2.7735968244384","109442.584862823","6.28403009091536"
"63","447","A3","152245","0.716616307277618","-0.980030093629797","-0.00271134408017931","2.58556376371398","0.0343293077305284","2.78596809756789","104998.484722107","6.72362349032524"
"64","447","A4","152245","0.684100537266134","-1.53427381053794","-0.00288609468434816","2.4253813069","0.00898844999052928","2.60987525798806","127372.602242157","9.96004095084153"
"65","447","A5","152245","0.811109322947358","-1.82212320102203","-0.00140144097861006","2.94817103889789","0.0260769295708449","2.86859708588266","113675.095893097","9.07131404492912"
